"","X","ID_BIO","n","W","Lt","Ls","Date","ID","FC","H","A","FCrel","L.H","L.H.1","L.H.A"
"1020",1020,"BIO 280823",37,462,30.5,25.5,"45166","37",462,9,3,1.03066503365335,274.5,39.5,823.5
"327",327,"BIO1-02-2022",86,8,7.5,6,"44729",NA,8,2.2,1.3,0.975245539122839,16.5,9.7,21.45
"766",766,"BIO 06 02 2023",4,323,28.5,23.5,"44963","74",323,8.5,3.5,0.874346730245793,242.25,37,847.875
"629",629,"BIO 01-2022",30,NA,25,20.5,"44824",NA,261.600159858668,7.3,3.5,1.02899155143271,182.5,32.3,638.75
"1154",1154,"BIO 150723",8,141,20,16.2,"45122","173",141,6.5,3.2,1.04804582848931,130,26.5,416
"1280",1280,"BIO 021023",21,117,19,15.5,"45201",NA,117,6,2.5,1.00665186043178,114,25,285
"141",141,"BIO2 2021",20,44,15,12.5,"44303","1",44,4.2,1.9,0.742914978065614,63,19.2,119.7
"181",181,"BIO4 2021",21,58,15,12.5,"44386","2",58,4.5,2,0.979297016541036,67.5,19.5,135
"1355",1355,"BIO 021023",27,253,24.5,20,"45201",NA,253,7.5,2.5,1.05418675959374,183.75,32,459.375
"991",991,"BIO 280823",8,138,20,16,"45166","8",138,6.5,3,1.02574698107464,130,26.5,390
"1138",1138,"BIO 150723",4,25,11,NA,"45122","157",25,3.5,2,1.02231981674305,38.5,14.5,77
"117",117,"BIO12021",24,223,24,20,"44205",NA,223,8,3.5,0.985464786656626,192,32,672
"1350",1350,"BIO 021023",22,300,26,21.5,"45201",NA,300,8,3.5,1.05515430451203,208,34,728
"761",761,"BIO 06 02 2023",11,155,20.5,17.5,"44963","69",155,6.5,3.5,1.07376290175745,133.25,27,466.375
"1433",1433,"BIO101023",56,39,11,9.5,"45209",NA,39,3.5,1.5,1.59481891411915,38.5,14.5,57.75
"592",592,"BIO 03-2022",4,400,31,25.5,"44868",NA,400,9,4.3,0.851912811023706,279,40,1199.7
"1414",1414,"BIO101023",37,16,8.5,8,"45209",NA,16,3,1,1.36494739872732,25.5,11.5,25.5
"515",515,"BIO4-03-2022",6,164,22.5,18.5,"44708",NA,164,6.8,2.5,0.871200297545067,153,29.3,382.5
"55",55,"BIO12021",94,38,13.3,11.5,"44205",NA,38,5,2.2,0.90418526490947,66.5,18.3,146.3
"398",398,"BIO1-02-2022",34,38,15,12,"44729",NA,50,4,1.8,0.844221565983652,60,19,108
"217",217,NA,12,71,15.1,12.6,"44489",NA,71,5.1,2.4,1.17629108002741,77.01,20.2,184.824
"6",6,"BIO12021",117,14,9,7.3,"44205",NA,14,3,1.5,1.01467534406828,27,12,40.5
"989",989,"BIO 280823",6,152,21.5,17.5,"45166","6",152,6.5,2.5,0.919237660862329,139.75,28,349.375
"1044",1044,"BIO 280823",61,234,23.5,19,"45166","61",234,7,3,1.09806746249553,164.5,30.5,493.5
"861",861,NA,2,304,27,22.5,"45028","2",304,8,3,0.96011407618259,216,35,648
"606",606,"BIO 01-2022",7,336,28,23,"44824",NA,336,8.5,3.7,0.956628423777201,238,36.5,880.6
"840",840,"BIO 28 03 2023",1,436,30,24.5,"45013","150",436,10,4,1.01961303622383,300,40,1200
"738",738,"BIO 0702 2023",46,25,11.5,9,"44964","46",25,4,2,0.900592812632759,46,15.5,92
"555",555,"BIO4-01-2022",5,195,24,20.5,"44687",NA,195,6.1,2.8,0.861729297749068,146.4,30.1,409.92
"522",522,"BIO4-2-2022",8,173,23,19,"44701",NA,173,7,3,0.863171362883766,161,30,483
"478",478,"BIO3-02-2022",40,159,19,15.5,"44694",NA,119,6,3,1.02385958454173,114,25,342
"1331",1331,"BIO 021023",3,273,25,20.5,"45201",NA,273,8.5,3.5,1.07383227018247,212.5,33.5,743.75
"946",946,"BIO 19 06 23",15,5,6.5,5,"45096","128",5,2,1,0.91672657197988,13,8.5,13
"823",823,"BIO 28 03 2023",4,157,20,17,"45013","133",157,6.5,3,1.16697301470086,130,26.5,390
"193",193,"BIO4 2021",24,86,16.5,14,"44386","2",86,5.3,2.3,1.10645294998045,87.45,21.8,201.135
"755",755,"BIO 06 02 2023",5,101,18.5,15,"44963","63",101,6,3,0.937661993640544,111,24.5,333
"1086",1086,"BIO 280823",103,140,20,17,"45166","103",140,6,2.5,1.04061287935108,120,26,300
"1286",1286,"BIO 021023",27,140,20.5,17,"45201",NA,140,6,3,0.969850362877694,123,26.5,369
