"","X","ID_BIO","n","W","Lt","Ls","Date","ID","FC","H","A","FCrel","L.H","L.H.1","L.H.A"
"1436",1436,"BIO101023",59,22,10.5,9,"45209",NA,22,3,1,1.02728159804036,31.5,13.5,31.5
"634",634,NA,5,85,16,14,"44824",NA,85,4,2,1.19389860255083,64,20,128
"3",3,"BIO12021",75,16,8.5,7,"44205",NA,16,3,1.5,1.36494739872732,25.5,11.5,38.25
"1006",1006,"BIO 280823",23,221,24,19,"45166","23",221,8,4,0.976626537448943,192,32,768
"390",390,"BIO3-03-2022",85,40,13,10.5,"44701",NA,40,4,2,1.01576269590103,52,17,104
"163",163,"BIO4 2021",5,35,12,10,"44386","1",35,4,2,1.11671368751991,48,16,96
"700",700,"BIO 0702 2023",8,269.5,26.5,21.5,"44964","8",269.5,8.3,3.2,0.897759988373942,219.95,34.8,703.84
"986",986,"BIO 280823",3,48,14,11.5,"45166","3",48,4,1.5,0.986694683851613,56,18,84
"53",53,"BIO12021",108,30,13,10.5,"44205",NA,30,4,0.8,0.761822021925773,52,17,41.6
"248",248,NA,25,40,14,11.7,"44489",NA,40,4.1,2,0.822245569876344,57.4,18.1,114.8
"868",868,NA,2,327,27.8,22.2,"45042","9",327,8.3,4,0.950234301237996,230.74,36.1,922.96
"1238",1238,"BIO 150923",77,15,9,7,"45184","77",15,3,1.5,1.08715215435888,27,12,40.5
"772",772,"BIO 06 02 2023",10,398,27.5,22.5,"44963","80",398,10,4.5,1.19290247034066,275,37.5,1237.5
"186",186,"BIO4 2021",41,74,15,13,"44386","2",74,5,2.3,1.2494479176558,75,20,172.5
"1260",1260,"BIO 021023",1,75,16.5,13,"45201",NA,75,4.8,2.2,0.964929898238762,79.2,21.3,174.24
"388",388,"BIO3-02-2022",35,40,13,10.5,"44694",NA,40,4,2,1.01576269590103,52,17,104
"1028",1028,"BIO 280823",45,418,28.5,23,"45166","45",418,9,3.5,1.13150753325926,256.5,37.5,897.75
"99",99,"BIO12021",68,82,17.5,14,"44205",NA,82,5,2.2,0.892006555751886,87.5,22.5,192.5
"232",232,NA,9,40,13.7,11.4,"44489",NA,40,4.1,2,0.874644646924054,56.17,17.8,112.34
"1317",1317,"BIO 021023",58,211,22.5,19,"45201",NA,211,7,3,1.12087355354884,157.5,29.5,472.5
"934",934,"BIO 19 06 23",3,6,7,5,"45096","116",6,2,1,0.890492669959393,14,9,14
"1397",1397,"BIO101023",20,18.2,9.5,8,"45209",NA,18.2,3,1,1.13058280078003,28.5,12.5,28.5
"448",448,"BIO1-01-2022",29,89,17,14,"44722",NA,89,3.9,1.9,1.05159470712682,66.3,20.9,125.97
"285",285,"BIO O1-02-2022",20,13,9.1,7.3,"44610",NA,13,2.6,1.2,0.912968955511947,23.66,11.7,28.392
"825",825,"BIO 28 03 2023",6,211,23.5,19,"45013","135",211,7.5,3.5,0.990137754643408,176.25,31,616.875
"658",658,NA,29,NA,15,12.5,"44824",NA,59.4670823558318,4.3,2.1,1.00406786781838,64.5,19.3,135.45
"596",596,"BIO02-2022",4,261,25,21,"44844",NA,261,7.5,3.6,1.02663085171291,187.5,32.5,675
"1398",1398,"BIO101023",21,14.1,9,7.5,"45209",NA,14.1,3,1,1.02192302509734,27,12,27
"1323",1323,"BIO 021023",64,110,18.5,15,"45201",NA,110,5.5,2.5,1.02121603267782,101.75,24,254.375
"1103",1103,"BIO 280823",120,520,30.5,24.5,"45166","120",520,11,4,1.16005588203407,335.5,41.5,1342
"1004",1004,"BIO 280823",21,236,24,19.5,"45166","21",236,7,3.2,1.04291340650656,168,31,537.6
"1358",1358,"BIO 021023",30,330,26.5,22.5,"45201",NA,330,8,3.5,1.09929794494768,212,34.5,742
"402",402,"BIO1-02-2022",65,52,14,10.5,"44729",NA,52,3.5,1.6,1.06891924083925,49,17.5,78.4
"567",567,"BIO1-02-2022",41,139,25,20,"44729",NA,215,7.2,3.5,0.845692080912934,180,32.2,630
"1283",1283,"BIO 021023",24,157,21,17,"45201",NA,157,7,3,1.01538076611494,147,28,441
